ID,Klant ID,Client,SBI,Size,Period (Q),Quarterly wage,Total premium,Overhead,Variable cost,Safety markup,Premium,Payout,y
1,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2014Q1,107505.0,4180.07,78.75,499.9,268.76,3332.66,3533.0,3.1
2,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2014Q2,107505.0,4180.07,78.75,499.9,268.76,3332.66,3966.0,3.1
3,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2014Q3,107505.0,4056.44,78.75,483.77,268.76,3225.15,3999.0,3.0
4,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2014Q4,107505.0,4550.96,78.75,548.28,268.76,3655.17,2778.0,3.4
5,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2015Q1,107505.0,4798.22,78.75,580.53,268.76,3870.18,3019.0,3.6
6,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2015Q2,107505.0,3932.8,78.75,467.65,268.76,3117.64,2744.0,2.9
7,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2015Q3,107505.0,3809.17,78.75,451.52,268.76,3010.14,3281.0,2.8
8,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2015Q4,107505.0,4303.7,78.75,516.02,268.76,3440.16,4197.0,3.2
9,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2016Q1,110730.15,5067.14,78.75,614.55,276.83,4097.02,4015.0,3.7
10,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2016Q2,110730.15,3921.09,78.75,465.07,276.83,3100.44,3690.0,2.8
11,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2016Q3,110730.15,3921.09,78.75,465.07,276.83,3100.44,2852.0,2.8
12,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2016Q4,110730.15,4812.46,78.75,581.33,276.83,3875.56,3721.0,3.5
13,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2017Q1,120695.86,5238.5,78.75,633.65,301.74,4224.36,4478.0,3.5
14,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2017Q2,120695.86,4683.3,78.75,561.24,301.74,3741.57,3742.0,3.1
15,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2017Q3,120695.86,4128.1,78.75,488.82,301.74,3258.79,3911.0,2.7
16,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2017Q4,120695.86,5099.7,78.75,615.55,301.74,4103.66,4104.0,3.4
17,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2018Q1,108626.28,5347.12,78.75,651.76,271.57,4345.05,5127.0,4.0
18,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2018Q2,108626.28,4347.76,78.75,521.41,271.57,3476.04,3963.0,3.2
19,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2018Q3,108626.28,4222.84,78.75,505.11,271.57,3367.41,2963.0,3.1
20,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2018Q4,108626.28,4722.52,78.75,570.29,271.57,3801.92,4372.0,3.5
21,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2019Q1,109712.54,5147.47,78.75,625.36,274.28,4169.08,5045.0,3.8
22,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2019Q2,109712.54,4011.94,78.75,477.25,274.28,3181.66,3404.0,2.9
23,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2019Q3,109712.54,3759.61,78.75,444.34,274.28,2962.24,2429.0,2.7
24,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2019Q4,109712.54,4768.96,78.75,575.99,274.28,3839.94,3149.0,3.5
25,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2020Q1,111906.79,4862.77,78.75,587.51,279.77,3916.74,3799.0,3.5
26,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2020Q2,111906.79,4219.3,78.75,503.58,279.77,3357.2,2719.0,3.0
27,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2020Q3,111906.79,4090.61,78.75,486.79,279.77,3245.3,3115.0,2.9
28,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2020Q4,111906.79,4605.38,78.75,553.94,279.77,3692.92,2917.0,3.3
29,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2021Q1,114144.93,5089.71,78.75,616.38,285.36,4109.22,3534.0,3.6
30,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2021Q2,114144.93,5220.98,78.75,633.5,285.36,4223.36,4266.0,3.7
31,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2021Q3,114144.93,5483.51,78.75,667.75,285.36,4451.65,3383.0,3.9
32,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2021Q4,114144.93,5614.78,78.75,684.87,285.36,4565.8,5570.0,4.0
33,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2022Q1,118710.72,6791.84,78.75,836.91,296.78,5579.4,4519.0,4.7
34,1,De Betrouwbare Schakel Adviesgroep,L Verhuur en handel van onroerend goed,10 tot 100 werkzame personen	,2022Q2,118710.72,5972.74,78.75,730.07,296.78,4867.14,5743.0,4.1
